XXXIX	NUM	xxxix
conduire	VERB	conduire
:	PUNCT	:
c'	PRON	ce
était	VERB	être
la	DET	le
reprise	NOUN	reprise
de	ADP	de
nos	PRON	notre
conversations	NOUN	conversation
d'	ADP	de
autrefois	ADV	autrefois
.	PUNCT	.
<EOS>	<EOS>	<EOS>
--	PUNCT	--
Je	PRON	je
crois	VERB	croire
qu'	CONJ	que
il	PRON	il
faudra	VERB	falloir
se	PRON	se
sentir	VERB	sentir
appuyé	VERB	appuyer
par	ADP	par
quelques	PRON	quelque
millions	NOUN	million
pour	ADP	pour
la	PRON	la
demander	VERB	demander
en	ADP	en
mariage	NOUN	mariage
.	PUNCT	.
<EOS>	<EOS>	<EOS>
--	PUNCT	--
Et	CONJ	et
pourquoi	ADV	pourquoi
cela	PRON	cela
?	PUNCT	?
<EOS>	<EOS>	<EOS>
Il	PRON	il
ne	ADV	ne
faut	VERB	falloir
pas	ADV	pas
croire	VERB	croire
que	CONJ	que
dans	ADP	dans
notre	PRON	notre
famille	NOUN	famille
nous	PRON	nous
sommes	VERB	sommer|être
sensibles	ADJ	sensible
aux	ADP	au
seuls	ADJ	seul
avantages	NOUN	avantage
de	ADP	de
la	DET	le
fortune	NOUN	fortune
;	PUNCT	;
il	PRON	il
en	PRON	en
est	VERB	être
d'	ADP	de
autres	ADJ	autre
que	CONJ	que
nous	PRON	nous
savons	VERB	savoir
reconnaître	VERB	reconnaître
et	CONJ	et
estimer	VERB	estimer
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ainsi	ADV	ainsi
,	PUNCT	,
je	PRON	je
ne	ADV	ne
vois	VERB	voir
pas	ADV	pas
pourquoi	ADV	pourquoi
elle	PRON	elle
ne	ADV	ne
deviendrait	VERB	devenir
pas	ADV	pas
votre	PRON	votre
femme	NOUN	femme
.	PUNCT	.
<EOS>	<EOS>	<EOS>
--	PUNCT	--
Moi	PRON	moi
,	PUNCT	,
madame	NOUN	madame
?	PUNCT	?
<EOS>	<EOS>	<EOS>
--	PUNCT	--
Pourquoi	ADV	pourquoi
cet	PRON	ce
étonnement	NOUN	étonnement
?	PUNCT	?
<EOS>	<EOS>	<EOS>
C'	PRON	ce
est	VERB	être
un	DET	un
projet	NOUN	projet
que	PRON	que
je	PRON	je
caresse	VERB	caresser
depuis	ADP	depuis
longtemps	ADV	longtemps
de	ADP	de
vous	PRON	vous
marier	VERB	marier
